day,supply_ratio,price_index,inflation_rate,market_heat,lambda_multiplier,diamond_price,diamond_garch_vol,iron_ingot_price,iron_ingot_garch_vol,netherite_price,netherite_garch_vol,elytra_price,elytra_garch_vol,oak_log_price,oak_log_garch_vol,enchanted_book_price,enchanted_book_garch_vol,gunpowder_price,gunpowder_garch_vol,ender_pearl_price,ender_pearl_garch_vol
0,0.9489237053220241,0.9895539400660563,-0.00280967811274118,4.267249892720673,1.336625836423068,97.80813693486152,0.0054855762406465286,7.669579599015737,0.008709177791858,2446.1953941355314,0.0054758787826117575,1761.258246641192,0.005475907769036782,1.31158464344862,0.020401777609397962,44.02420511974055,0.005479869171599114,4.858481030616921,0.006467088068407307,11.736957979689151,0.005485244213195627
1,0.7481137788578742,0.9528821838256966,-0.014217627163559454,5.084522882986398,1.5973003911399457,102.93891889636086,0.007981713961124265,7.994364359810629,0.012917984428320059,2577.0193122368933,0.008038419045781463,1855.4477805765655,0.008038359506484917,1.2902825378759497,0.030246551218207542,46.3603301796877,0.008014823613247492,5.06263762056492,0.014892514247422472,12.351972272720433,0.007980624606930935
2,0.7351733974170164,0.8667034590216264,-0.01628950648245417,5.393016070689654,1.4622871544022846,102.76946446821904,0.004756816710744073,7.959137991966113,0.011307556432326032,2573.7997267790547,0.004750181651258954,1853.125415123213,0.004750195471656348,1.2288698255586763,0.026932267803528104,46.29463268025591,0.004751511292730197,5.035868569506821,0.017137635078962227,12.3316415373057,0.004750045925238257
3,0.8926459708177267,0.8099975192893442,-0.006971910851352028,4.959662038989786,1.1501388710017668,97.44697216344828,0.006663513472593343,7.563663079528528,0.01147156647942287,2440.343953271257,0.006655543069658116,1757.0390113732417,0.006655565361236467,1.165389033121683,0.02263568134386207,43.894530889017226,0.006656877405538226,4.798481962999245,0.011678254217504984,11.6943613111454,0.006529382296482682
4,0.9611672964617203,0.792618053853721,-0.0027345452482468034,4.974663107069521,0.9206163163174094,96.6653293113905,0.004630677640936555,7.5026587156479385,0.010184663648902257,2420.701616309219,0.004612381682916686,1742.8965337459003,0.004612374919212879,1.1219531401739888,0.03416077607490875,43.541318980471466,0.004615118900640554,4.759115894578961,0.00780488526712822,11.601083270164096,0.0046144802770863936
5,1.0407789560086758,0.7918629306380236,0.0025260407518351937,4.77294598097632,0.8288122461278418,96.493442186373,0.0044038345134581195,7.498114049380754,0.010333400412532171,2416.2639014186598,0.00439007067237893,1739.7018131569,0.004390059053094559,1.1099684653073845,0.03915916727569144,43.465352737793175,0.004395867106891515,4.7568318421585225,0.0068016213178019045,11.580354818060519,0.0044072923294646805
6,0.9945690362454026,0.7898002154472441,4.974180773846248e-05,4.843925384845085,1.0290787690512884,97.03873414058955,0.004372393352985073,7.517702912321021,0.010435726216603172,2431.2213887604958,0.004360785847230638,1750.4681040701062,0.004360723209630339,1.0662017289248638,0.042230905660079886,43.72603022682056,0.004358498753299956,4.767979045698387,0.006730960912651646,11.646384945636084,0.004377988613515768
7,0.9036750783056676,0.7755488046491427,-0.005793734948580493,4.803312891593833,1.2733846042534018,97.90547753744602,0.004333855627540245,7.550262462318585,0.010314658601481841,2454.2002403316783,0.004312066946190165,1767.0103259109346,0.004312078471818948,1.0789068773933757,0.051169479985367076,44.12927424722827,0.004314319353260695,4.791191365743669,0.006449888083078631,11.750724018583965,0.0043430856229999815
8,0.7510601970613012,0.7453323724354665,-0.014166650312638635,5.559279470208797,1.5228084129674635,102.99022025441485,0.007770251367701907,7.888012829574774,0.01292728910122005,2583.1766294856284,0.007952782953512412,1859.8664543764678,0.007950880693696392,1.0239166007557505,0.039779851834221926,46.43487310380647,0.007874211363842847,4.978588907099867,0.015158239484157334,12.359400381750353,0.007782178347525909
9,0.731824486414648,0.6818206029834548,-0.016416108633816515,5.845216524700413,1.4078448322338841,102.80059366947012,0.004713953175680462,7.8944126242546,0.011290636170701966,2577.63372328755,0.00472862755283093,1855.8770166744218,0.004728310181000253,1.016007030919041,0.03949107652986305,46.34362526539624,0.004721643115154566,4.973500263946982,0.02170601420542341,12.334204961426359,0.0046965570763820895
