day,hour,online_players,m1_supply,supply_ratio,inflation_rate,market_heat,lambda_multiplier,price_index,diamond_price,diamond_garch_vol,iron_ingot_price,iron_ingot_garch_vol,netherite_price,netherite_garch_vol,elytra_price,elytra_garch_vol,oak_log_price,oak_log_garch_vol,enchanted_book_price,enchanted_book_garch_vol,gunpowder_price,gunpowder_garch_vol,ender_pearl_price,ender_pearl_garch_vol
0.0,0,88.49194232174821,9954265.316186955,0.9954265316186955,0.0005705955905620052,2.999671440764053,1.6724052093065296,0.9999433395906566,97.40101837016417,0.004472135954999582,7.796363367270735,0.004472135954999582,2435.009606296815,0.004472135954999582,1753.206785099671,0.004472135954999582,1.4667847502614881,0.004472135954999582,43.83038251815882,0.004472135954999582,4.8703417770574084,0.004472135954999582,11.688038737983701,0.004472135954999582
0.041666666666666664,1,82.81588850877522,9755632.819946868,0.9755632819946868,-0.0004902827835656994,3.052646932836362,1.6657154364689726,0.999602033295217,98.00798534552723,0.0071508636669331506,7.849524766242383,0.007058820074462243,2450.152188773565,0.007151958450668034,1764.109351516686,0.007151971057714455,1.4825586331289884,0.006506987994852796,44.10327575301062,0.007151154272946667,4.901191168651499,0.007140825167695853,11.760782154054358,0.007152064521988605
0.08333333333333333,2,81.0680091922001,9533271.863017619,0.9533271863017618,-0.0011664463512303415,3.0838996091343183,1.6632402030279634,0.9989487660081212,98.56677686184086,0.0069939933406922145,7.898882164321642,0.006935616158168609,2464.085752396023,0.006994454000756422,1774.1414377237693,0.0069944633829047784,1.497840537980298,0.006682077782020838,44.35444004124436,0.006994027735374923,4.929692776460654,0.0069891347453191624,11.827749449916965,0.006994765115208191
0.125,3,80.62840569207887,9266728.576048335,0.9266728576048335,-0.0028707460942580696,3.106137608401494,1.6623602891490057,0.9979120015210593,99.04495311109442,0.006827769059362679,7.941433635429238,0.00679857063689248,2476.0103816164506,0.006827612465664433,1782.7270852570614,0.006827619359362904,1.511295946583062,0.0068030911152050675,44.56939024752027,0.006827540026624495,4.954073023201188,0.006827848333217847,11.885048249717162,0.006828188436387055
0.16666666666666666,4,81.90468615226821,8927844.47140155,0.892784447140155,-0.0038705406458048146,3.1356800471088153,1.6633157674927375,0.9964004583019133,99.41630724117323,0.006642627610268861,7.974713152943736,0.006635281302176653,2485.2815970212923,0.006642069733947965,1789.4022493213415,0.00664207447234292,1.5217304693674114,0.006821803098808233,44.736442672707504,0.006642238944986098,4.972875702670614,0.006646003171520214,11.929460410391863,0.006642777969638223
0.20833333333333334,5,94.4936371036473,8473579.09615189,0.847357909615189,-0.005849436911684462,3.2480518571248846,1.6736791346763282,0.9942345402110525,99.65985796407274,0.00643659757838901,7.997212528404447,0.006442703086851098,2491.431407428096,0.006435943023993761,1793.8297846433136,0.006435945726639703,1.5285018624067779,0.006722918113590116,44.846549025142984,0.006436203194181598,4.984133609389226,0.006441014056012946,11.958889797052304,0.006436390845922254
0.25,6,105.74636677259603,7963557.1256802175,0.7963557125680217,-0.009531784799212005,3.427705213040382,1.6796141624848784,0.9913215053819755,99.768226739746,0.006214650696463357,8.00695839172999,0.006227814927515902,2494.1795003935854,0.006214505144899002,1795.8086726457807,0.006214504208482849,1.5162374886304546,0.006532105210258843,44.89576612591043,0.006214497344044112,4.9890550679512655,0.006215419281575058,11.971863377508807,0.006214780125088028
0.2916666666666667,7,113.87262657957689,7483891.449125225,0.7483891449125225,-0.012783728866819243,3.6299135190694636,1.608392410057232,0.9878742119908406,99.735678123087,0.00598881118327228,7.992712411929859,0.006002304089967015,2493.440836432853,0.00598881103054933,1795.2766460768346,0.005988811433786313,1.426558380874006,0.006519943544826547,44.881914493457074,0.005988755208151258,4.986428181877724,0.005988706542780972,11.967958745044504,0.005988910197023145
0.3333333333333333,8,134.9749353331911,7917614.539609498,0.7917614539609499,-0.013395214540442903,3.956884031494552,0.8229971331361239,0.9864039625065038,99.56930509848229,0.005773588924325826,7.971297937641653,0.005798728540632816,2489.323539052339,0.00577351174988074,1792.3124003127452,0.005773512382379171,1.331817519599909,0.014334382505116186,44.807322753958495,0.005773490414986791,4.977403645586887,0.005774193800565872,11.948154954957488,0.005773681112916406
0.375,9,135.43505693694684,8713580.978337906,0.8713580978337906,-0.01149561185152881,4.225755822159102,0.6102203214535247,0.9857184369289577,99.27986139794241,0.0055841806835978764,7.945015662435709,0.00562616214499859,2482.1280358494755,0.005583870440510619,1787.1316377886114,0.0055838694087464846,1.1912531612354753,0.019886667625652943,44.67744831849554,0.0055840014291404115,4.962343701089793,0.005586838676956904,11.913474321196949,0.005584077016613875
